Episode,Average Distance
2040,128.6907978068146
2041,125.25909154879865
2042,67.55614193099761
2043,117.7671975238669
2044,147.8616054285716
2045,123.98416029218092
2046,169.24048617285834
2047,173.09433436308592
2048,127.92165810772836
2049,147.61746060640735
2050,130.65726400075405
2051,126.30617565170849
2052,118.9460540201204
2053,100.65020599242503
2054,147.08370587516652
2055,119.32255244222112
2056,114.06685487169926
2057,130.14014456568717
2058,145.04637677001142
2059,84.78467803654786
2060,131.69616705006743
2061,87.38528352715572
2062,102.25496090033965
2063,191.844282360148
2064,143.18355977518584
2065,112.84006515298795
2066,169.8555237569683
2067,128.82534646630646
2068,118.36034734745327
2069,141.44966135687176
2070,96.5195405868946
2071,116.04028478560146
2072,118.00634530961715
2073,100.64948374497904
2074,104.829962112003
2075,121.24379817672359
2076,88.87699549789244
2077,77.3623195325204
2078,120.50714032291614
2079,177.9811480604709
2080,133.03506313935256
2081,102.94208966717314
2082,109.05349565271563
2083,104.25896269991864
2084,138.150517273781
2085,158.61207193893014
2086,97.44211829765194
2087,207.6863808522271
2088,124.00158482420554
2089,116.52419346278454
2090,121.24684947878004
2091,177.5961023605788
2092,113.1295014850486
2093,131.1124378073133
2094,83.23576878942389
2095,138.62366910614975
2096,116.65068958629264
2097,140.7291403004885
2098,82.57485323562368
2099,166.7891493547726
2100,142.7656090657151
2101,104.38166809023423
2102,93.63794320349231
2103,124.1149186277236
2104,118.87265807413935
2105,167.10333807989798
2106,146.9129406468131
2107,104.44732534856625
2108,126.33725665510458
2109,118.77949569071282
2110,149.1485386366959
2111,132.7241141479705
2112,110.18938151821239
2113,128.56814773122014
2114,132.7176699239521
2115,127.00019627056058
2116,222.78504581375537
2117,122.23549220082235
2118,138.3014711194539
2119,117.51866835303663
2120,143.54081332241697
2121,192.20013632333195
2122,79.15239053397212
2123,142.10586072870996
2124,101.37799326998355
2125,107.71516117524219
2126,81.4355111856839
2127,184.76298052410502
2128,187.3679331842539
2129,133.2006987910931
2130,150.0556059249964
2131,125.68515023853439
2132,98.49262168293484
2133,126.73727223102136
2134,134.18911867189811
2135,104.5095051167182
2136,130.51112266688705
2137,142.69973568712913
2138,155.71304142639684
2139,74.35317246406481
2140,135.50554753757822
2141,149.52363965777417
2142,185.6142391973027
2143,147.6184272893492
2144,119.41735664279109
2145,111.44480428768728
2146,110.08461184872546
2147,159.32557317333755
2148,125.42700517025365
2149,112.08031971213036
2150,149.80514289943721
2151,71.02170266551298
2152,170.29010387749344
2153,135.2144708470356
2154,129.47858265772936
2155,150.04010645561854
2156,149.31665369218103
2157,124.18071011289693
2158,110.61434130935304
2159,110.18610499069248
2160,194.66500743335018
2161,88.06046992978692
2162,106.55257503728032
2163,140.9404716602091
2164,112.12608145730007
2165,136.7801370432154
2166,167.16793978005774
2167,155.32225461752043
2168,124.48563027181052
2169,101.0816270754142
2170,133.90440202577946
2171,162.83451670776498
2172,82.23000938726317
2173,120.28451004268464
2174,162.88262266171063
2175,127.71708415885696
2176,112.53840098306175
2177,111.63342637202071
2178,141.38332192960706
2179,121.16255220326555
2180,135.9473048767142
2181,150.8837159582827
2182,126.9463164577003
2183,176.28539377937443
2184,157.32415187011685
2185,142.86174270376208
2186,101.07358593506562
2187,97.70536128962111
2188,120.46658564250812
2189,149.32059642712625
2190,92.91374609101256
2191,174.02621239658956
2192,143.44883351391584
2193,166.25008905656549
2194,115.03781894488222
2195,156.39163643898618
2196,118.30595961199414
2197,104.26367107269303
2198,143.62776249168644
2199,123.16717966092777
2200,85.44330272582565
2201,131.45090870814815
2202,112.71124388166338
2203,118.34192089818
2204,118.94950976216285
2205,94.31478197597097
2206,188.0040632118483
2207,135.18889123938237
2208,96.65867793563923
2209,119.65957922013646
2210,99.13896221201942
2211,130.48892476725092
2212,152.85286461663162
2213,128.38450685712613
2214,135.41071136701302
2215,143.43715387868352
2216,101.91343614226383
2217,150.85828336146648
2218,93.04454147182103
2219,114.54773377870971
2220,80.56010215005863
2221,133.19815793024367
2222,118.89858850583832
2223,105.00609596409387
2224,93.43460833982691
2225,154.83945869043526
2226,130.6187235622663
2227,88.0234350775055
2228,78.59343454627718
2229,141.76383013983641
2230,129.11703460536418
2231,110.06921955084155
2232,101.64825189868147
2233,132.90243006085132
2234,79.1047430108811
2235,130.07832217066365
2236,99.42735307114955
2237,117.17585573052963
2238,103.31514160863325
2239,108.35202203831173
2240,94.22175562059648
2241,111.30442037910063
2242,149.95223383891104
2243,125.72829344224144
